,NAPMNEWO_NAPMINV
DATE,px_last
1996-12-31,17.3
1997-01-31,13.8
1997-02-28,16.3
1997-03-31,15.1
1997-04-30,15.2
1997-05-31,14.2
1997-06-30,14.2
1997-07-31,15.4
1997-08-31,17.3
1997-09-30,8.2
1997-10-31,15.9
1997-11-30,13.6
1997-12-31,11
1998-01-31,10.9
1998-02-28,8.4
1998-03-31,8.9
1998-04-30,9.2
1998-05-31,5.5
1998-06-30,8.2
1998-07-31,7.7
1998-08-31,6.1
1998-09-30,6.2
1998-10-31,0.9
1998-11-30,3.8
1998-12-31,7
1999-01-31,9.7
1999-02-28,11.5
1999-03-31,12.2
1999-04-30,7.2
1999-05-31,14.2
1999-06-30,14.7
1999-07-31,9.7
1999-08-31,11.3
1999-09-30,19.7
1999-10-31,13.3
1999-11-30,13.4
1999-12-31,11.3
2000-01-31,7.6
2000-02-29,13.8
2000-03-31,8.7
2000-04-30,9.3
2000-05-31,4.6
2000-06-30,3
2000-07-31,3.5
2000-08-31,2.9
2000-09-30,3
2000-10-31,2.5
2000-11-30,6.3
2000-12-31,1.7
2001-01-31,-3.4
2001-02-28,-4.3
2001-03-31,-2.2
2001-04-30,5.8
2001-05-31,6.7
2001-06-30,7.9
2001-07-31,12.1
2001-08-31,16.7
2001-09-30,12.4
2001-10-31,0.6
2001-11-30,10.2
2001-12-31,13.8
2002-01-31,16
2002-02-28,21
2002-03-31,22.4
2002-04-30,16.9
2002-05-31,18
2002-06-30,18
2002-07-31,9.2
2002-08-31,5.2
2002-09-30,9.1
2002-10-31,10.1
2002-11-30,6.8
2002-12-31,13.5
2003-01-31,14
2003-02-28,8.9
2003-03-31,4.9
2003-04-30,4.1
2003-05-31,7.7
2003-06-30,11.6
2003-07-31,10.5
2003-08-31,18
2003-09-30,17.4
2003-10-31,18.8
2003-11-30,19.4
2003-12-31,25.4
2004-01-31,22.7
2004-02-29,17.5
2004-03-31,16.6
2004-04-30,21.9
2004-05-31,15.7
2004-06-30,9.6
2004-07-31,12
2004-08-31,10
2004-09-30,6.1
2004-10-31,9.1
2004-11-30,10.4
2004-12-31,13.5
2005-01-31,4.4
2005-02-28,4.9
2005-03-31,2.7
2005-04-30,4.9
2005-05-31,3.3
2005-06-30,7.7
2005-07-31,11.7
2005-08-31,10.8
2005-09-30,11.4
2005-10-31,14.9
2005-11-30,14.2
2005-12-31,13.6
2006-01-31,11.4
2006-02-28,9
2006-03-31,7
2006-04-30,4.2
2006-05-31,6.4
2006-06-30,7.5
2006-07-31,7.8
2006-08-31,4.3
2006-09-30,7.8
2006-10-31,6.6
2006-11-30,3.3
2006-12-31,3.9
2007-01-31,15
2007-02-28,9.7
2007-03-31,7.2
2007-04-30,10.6
2007-05-31,9.4
2007-06-30,10.9
2007-07-31,10.7
2007-08-31,8
2007-09-30,14.7
2007-10-31,5.2
2007-11-30,6.8
2007-12-31,5.8
2008-01-31,-1.8
2008-02-29,4.6
2008-03-31,3.4
2008-04-30,-2.1
2008-05-31,0.9
2008-06-30,0.3
2008-07-31,5.1
2008-08-31,-0.1
2008-09-30,0.7
2008-10-31,-10.7
2008-11-30,-4.5
2008-12-31,-13
2009-01-31,-7.3
2009-02-28,-5
2009-03-31,6.9
2009-04-30,9.9
2009-05-31,16.5
2009-06-30,15.5
2009-07-31,22.4
2009-08-31,25.5
2009-09-30,23.1
2009-10-31,6
2009-11-30,23.2
2009-12-31,20
2010-01-31,13.6
2010-02-28,7.5
2010-03-31,3.3
2010-04-30,14.1
2010-05-31,13.5
2010-06-30,11.3
2010-07-31,4.9
2010-08-31,1.2
2010-09-30,-4.5
2010-10-31,1.7
2010-11-30,4.9
2010-12-31,9.9
2011-01-31,14.7
2011-02-28,16.8
2011-03-31,13
2011-04-30,10.2
2011-05-31,4.7
2011-06-30,2.9
2011-07-31,10
2011-08-31,-1
2011-09-30,-1.7
2011-10-31,3.6
2011-11-30,9.9
2011-12-31,10.4
2012-01-31,10.3
2012-02-29,8.9
2012-03-31,8.2
2012-04-30,9.5
2012-05-31,11
2012-06-30,5
2012-07-31,-1.5
2012-08-31,-7
2012-09-30,2.6
2012-10-31,1.7
2012-11-30,-0.2
2012-12-31,0.8
2013-01-31,4.5
2013-02-28,8.8
2013-03-31,3.5
2013-04-30,6.8
2013-05-31,3.4
2013-06-30,3.1
2013-07-31,8.8
2013-08-31,10.1
2013-09-30,11.2
2013-10-31,5
2013-11-30,5.6
2013-12-31,11.7
2014-01-31,10.7
2014-02-28,7.9
2014-03-31,6.2
2014-04-30,4.1
2014-05-31,4.9
2014-06-30,4.5
2014-07-31,7.6
2014-08-31,9.2
2014-09-30,7.8
2014-10-31,7.1
2014-11-30,9.4
2014-12-31,9.7
2015-01-31,4.6
2015-02-28,4.4
2015-03-31,2.8
2015-04-30,4
2015-05-31,1.2
2015-06-30,1.7
2015-07-31,2
2015-08-31,3.4
2015-09-30,1.5
2015-10-31,5.1
2015-11-30,4.9
2015-12-31,0.5
2016-01-31,5.1
2016-02-29,7.7
2016-03-31,8.6
2016-04-30,9.3
2016-05-31,10.6
2016-06-30,9
2016-07-31,4.6
2016-08-31,2.6
2016-09-30,3.9
2016-10-31,6
2016-11-30,5.2
2016-12-31,9.9
2017-01-31,10.7
2017-02-28,13.2
2017-03-31,13.6
2017-04-30,6
2017-05-31,9.3
2017-06-30,11.6
2017-07-31,12.2
2017-08-31,6.3
2017-09-30,11.9
2017-10-31,16
2017-11-30,15.7
2017-12-31,14.7
2018-01-31,13.7
2018-02-28,8.9
2018-03-31,7.2
2018-04-30,10.8
2018-05-31,12.9
2018-06-30,12.9
2018-07-31,6.4
2018-08-31,9.3
2018-09-30,8.8
2018-10-31,8.5
2018-11-30,6.3
2018-12-31,-1.2
2019-01-31,3.7
2019-02-28,3.1
2019-03-31,5.5
2019-04-30,1.2
2019-05-31,1.4
2019-06-30,1.6
2019-07-31,1.6
2019-08-31,-2.5
2019-09-30,1.9
2019-10-31,-0.6
2019-11-30,0.1
2019-12-31,-1.2
2020-01-31,2.9
2020-02-29,2.8
2020-03-31,-4
2020-04-30,-22.2
2020-05-31,-18.2
2020-06-30,6.5
2020-07-31,13.7
2020-08-31,21.4
2020-09-30,13.2
2020-10-31,15.3
2020-11-30,14.9
2020-12-31,16.5
2021-01-31,10.3
2021-02-28,15.1
2021-03-31,17.2
2021-04-30,17.8
2021-05-31,16.2
2021-06-30,14.9
2021-07-31,16
2021-08-31,12.5
2021-09-30,11.1
