,OEKRKLAC Index
Date,px_last
1996-12-31,97.697
1997-01-31,97.7858
1997-02-28,97.9147
1997-03-31,98.0696
1997-04-30,98.2497
1997-05-31,98.4235
1997-06-30,98.5248
1997-07-31,98.4658
1997-08-31,98.1843
1997-09-30,97.6635
1997-10-31,96.9693
1997-11-30,96.2178
1997-12-31,95.5455
1998-01-31,95.0663
1998-02-28,94.8235
1998-03-31,94.8136
1998-04-30,95.0042
1998-05-31,95.361
1998-06-30,95.8609
1998-07-31,96.4826
1998-08-31,97.1762
1998-09-30,97.8925
1998-10-31,98.6067
1998-11-30,99.3557
1998-12-31,100.1831
1999-01-31,101.0946
1999-02-28,102.0432
1999-03-31,102.9656
1999-04-30,103.799
1999-05-31,104.507
1999-06-30,105.0735
1999-07-31,105.4774
1999-08-31,105.6863
1999-09-30,105.7057
1999-10-31,105.5626
1999-11-30,105.3035
1999-12-31,104.9332
2000-01-31,104.4846
2000-02-29,103.998
2000-03-31,103.5382
2000-04-30,103.1391
2000-05-31,102.7691
2000-06-30,102.3887
2000-07-31,101.9419
2000-08-31,101.391
2000-09-30,100.717
2000-10-31,99.9542
2000-11-30,99.1724
2000-12-31,98.4428
2001-01-31,97.8313
2001-02-28,97.3982
2001-03-31,97.173
2001-04-30,97.106
2001-05-31,97.1406
2001-06-30,97.258
2001-07-31,97.4792
2001-08-31,97.8031
2001-09-30,98.2318
2001-10-31,98.7894
2001-11-30,99.4659
2001-12-31,100.2031
2002-01-31,100.9264
2002-02-28,101.5616
2002-03-31,102.0435
2002-04-30,102.3091
2002-05-31,102.3573
2002-06-30,102.2389
2002-07-31,102.0226
2002-08-31,101.7337
2002-09-30,101.3991
2002-10-31,101.0151
2002-11-30,100.5729
2002-12-31,100.0559
2003-01-31,99.4828
2003-02-28,98.946
2003-03-31,98.5357
2003-04-30,98.3006
2003-05-31,98.2527
2003-06-30,98.3829
2003-07-31,98.648
2003-08-31,98.9908
2003-09-30,99.3401
2003-10-31,99.6532
2003-11-30,99.9154
2003-12-31,100.1196
2004-01-31,100.2626
2004-02-29,100.3367
2004-03-31,100.3518
2004-04-30,100.342
2004-05-31,100.3103
2004-06-30,100.2735
2004-07-31,100.2383
2004-08-31,100.193
2004-09-30,100.1311
2004-10-31,100.0516
2004-11-30,99.9732
2004-12-31,99.9161
2005-01-31,99.9058
2005-02-28,99.9436
2005-03-31,99.9906
2005-04-30,100.0355
2005-05-31,100.1081
2005-06-30,100.2389
2005-07-31,100.4289
2005-08-31,100.6588
2005-09-30,100.8887
2005-10-31,101.0838
2005-11-30,101.2039
2005-12-31,101.2254
2006-01-31,101.1438
2006-02-28,100.9836
2006-03-31,100.7769
2006-04-30,100.56
2006-05-31,100.3629
2006-06-30,100.2256
2006-07-31,100.1869
2006-08-31,100.242
2006-09-30,100.3295
2006-10-31,100.4001
2006-11-30,100.4291
2006-12-31,100.4358
2007-01-31,100.4563
2007-02-28,100.5218
2007-03-31,100.6357
2007-04-30,100.8071
2007-05-31,101.0124
2007-06-30,101.2131
2007-07-31,101.3567
2007-08-31,101.3873
2007-09-30,101.2874
2007-10-31,101.0411
2007-11-30,100.6591
2007-12-31,100.1784
2008-01-31,99.6441
2008-02-29,99.1006
2008-03-31,98.5826
2008-04-30,98.1063
2008-05-31,97.6767
2008-06-30,97.2971
2008-07-31,96.9955
2008-08-31,96.7736
2008-09-30,96.6255
2008-10-31,96.5858
2008-11-30,96.7318
2008-12-31,97.1149
2009-01-31,97.7327
2009-02-28,98.5265
2009-03-31,99.3639
2009-04-30,100.1683
2009-05-31,100.8787
2009-06-30,101.4877
2009-07-31,102.0026
2009-08-31,102.4083
2009-09-30,102.6835
2009-10-31,102.818
2009-11-30,102.8359
2009-12-31,102.7612
2010-01-31,102.6166
2010-02-28,102.4355
2010-03-31,102.2476
2010-04-30,102.0633
2010-05-31,101.8808
2010-06-30,101.6925
2010-07-31,101.4903
2010-08-31,101.2832
2010-09-30,101.0857
2010-10-31,100.9282
2010-11-30,100.8399
2010-12-31,100.8161
2011-01-31,100.8257
2011-02-28,100.7977
2011-03-31,100.6847
2011-04-30,100.4917
2011-05-31,100.2302
2011-06-30,99.9247
2011-07-31,99.6045
2011-08-31,99.2786
2011-09-30,98.9699
2011-10-31,98.6997
2011-11-30,98.499
2011-12-31,98.406
2012-01-31,98.4224
2012-02-29,98.5148
2012-03-31,98.6304
2012-04-30,98.74
2012-05-31,98.8192
2012-06-30,98.8655
2012-07-31,98.8847
2012-08-31,98.9044
2012-09-30,98.9394
2012-10-31,98.9841
2012-11-30,99.0405
2012-12-31,99.1179
2013-01-31,99.2099
2013-02-28,99.328
2013-03-31,99.4764
2013-04-30,99.6205
2013-05-31,99.7317
2013-06-30,99.7924
2013-07-31,99.7996
2013-08-31,99.7779
2013-09-30,99.7359
2013-10-31,99.6973
2013-11-30,99.6731
2013-12-31,99.6645
2014-01-31,99.6592
2014-02-28,99.6408
2014-03-31,99.6056
2014-04-30,99.5575
2014-05-31,99.5123
2014-06-30,99.4959
2014-07-31,99.5334
2014-08-31,99.6346
2014-09-30,99.7884
2014-10-31,99.9791
2014-11-30,100.1853
2014-12-31,100.3646
2015-01-31,100.4852
2015-02-28,100.552
2015-03-31,100.5744
2015-04-30,100.563
2015-05-31,100.5309
2015-06-30,100.4969
2015-07-31,100.4925
2015-08-31,100.5145
2015-09-30,100.5557
2015-10-31,100.5901
2015-11-30,100.6002
2015-12-31,100.5801
2016-01-31,100.5479
2016-02-29,100.5293
2016-03-31,100.5381
2016-04-30,100.5745
2016-05-31,100.6408
2016-06-30,100.7427
2016-07-31,100.8795
2016-08-31,101.039
2016-09-30,101.1936
2016-10-31,101.3263
2016-11-30,101.45
2016-12-31,101.5711
2017-01-31,101.6841
2017-02-28,101.775
2017-03-31,101.8296
2017-04-30,101.8416
2017-05-31,101.8123
2017-06-30,101.7549
2017-07-31,101.6698
2017-08-31,101.557
2017-09-30,101.4149
2017-10-31,101.2409
2017-11-30,101.0267
2017-12-31,100.7852
2018-01-31,100.558
2018-02-28,100.3602
2018-03-31,100.1851
2018-04-30,100.0392
2018-05-31,99.9161
2018-06-30,99.8058
2018-07-31,99.7181
2018-08-31,99.6497
2018-09-30,99.5855
2018-10-31,99.5154
2018-11-30,99.4428
2018-12-31,99.3693
2019-01-31,99.2851
2019-02-28,99.1782
2019-03-31,99.0448
2019-04-30,98.8903
2019-05-31,98.7441
2019-06-30,98.6269
2019-07-31,98.5365
2019-08-31,98.4881
2019-09-30,98.487
2019-10-31,98.5367
2019-11-30,98.6173
2019-12-31,98.6906
2020-01-31,98.7213
2020-02-29,98.71
2020-03-31,98.676
2020-04-30,98.6638
2020-05-31,98.7048
2020-06-30,98.838
2020-07-31,99.0621
2020-08-31,99.3465
2020-09-30,99.6583
2020-10-31,99.9643
2020-11-30,100.2538
2020-12-31,100.5319
2021-01-31,100.8266
2021-02-28,101.1294
2021-03-31,101.4218
2021-04-30,101.6826
2021-05-31,101.8743
2021-06-30,101.9903
2021-07-31,102.0567
